"UserPrincipalName","DisplayName","GivenName","Surname","Department","JobTitle","UsageLocation","AccountEnabled","License","Password","Status","Group","Id"
"barbara.rodriguez@intbussmgt.onmicrosoft.com","Barbara Rodriguez","Barbara","Rodriguez","Accounting","Administrative Manager","US","True","None","askX6LXd1Ph1Qr","Created","Department_Accounting","f8e9d08b-cde6-4d6e-8aba-37feb7cd8150"
"david.rodriguez@intbussmgt.onmicrosoft.com","David Rodriguez","David","Rodriguez","Electrical","Sr. Electrical Designer | Associate","US","True","None","Mkn!cAwKvD2N7@","Created","Department_Electrical","4c2ee412-4023-4071-bdab-4cbbb5cf7ec3"
"donna.rodriguez@intbussmgt.onmicrosoft.com","Donna Rodriguez","Donna","Rodriguez","AlAin","Intern","US","True","None","ZK^7HUZsBs4@2!","Created","Department_AlAin","0d11e2ee-6eba-4d74-b722-5bbd1404babd"
"david.sanchez@intbussmgt.onmicrosoft.com","David Sanchez","David","Sanchez","Mechanical","Sr. Mechanical Engineer","US","True","None","1*^rBzas9UZVBV","Created","Department_Mechanical","443a6ca2-7da0-4ab8-9154-5d9b76e9ed21"
"donald.sanchez@intbussmgt.onmicrosoft.com","Donald Sanchez","Donald","Sanchez","Electrical","Electrical Designer","US","True","None","wgm&H1SACC%K&*","Created","Department_Electrical","5459bc46-5f83-4a12-9772-46debac937ba"
"john.sanchez@intbussmgt.onmicrosoft.com","John Sanchez","John","Sanchez","ME Admin","Intern","US","True","None","QmfGpku^t2KH&!","Created","Department_ME Admin","0e9677b0-7cb5-471d-9033-955d87377511"
"thomas.sanchez@intbussmgt.onmicrosoft.com","Thomas Sanchez","Thomas","Sanchez","Plumbing","Plumbing Designer","US","True","None","8LPu*E@ygBZPaF","Created","Department_Plumbing","26ee626d-a8b9-4ae2-b429-a8cef07f7886"
"johnny.smith@intbussmgt.onmicrosoft.com","Johnny Smith","Johnny","Smith","CAD","Mechanical Designer","US","True","None","1B2uBAUr$m#SN8","Created","Department_CAD","f5b8d755-5cd7-47b1-a779-954f6d77bdb1"
"jake.smith@intbussmgt.onmicrosoft.com","Jake Smith","Jake","Smith","AlAin","Intern","US","True","None","zK@NHH7m@bZpz#","Created","Department_AlAin","0487ce10-2c92-4583-9668-d4637e4f7153"
"joshua.smith@intbussmgt.onmicrosoft.com","Joshua Smith","Joshua","Smith","Electrical","Sr Electrical Engineer","US","True","None","#8vXQUtWsE2QGu","Created","Department_Electrical","c9740704-72f1-4767-98e1-c259888490a8"
"linda.smith@intbussmgt.onmicrosoft.com","Linda Smith","Linda","Smith","Mechanical","Project Manager | Associate","US","True","None","bW^%2pRmBhKgSB","Created","Department_Mechanical","197c944f-df88-40bc-b1ed-d00b6cfc44da"
"barbara.taylor@intbussmgt.onmicrosoft.com","Barbara Taylor","Barbara","Taylor","CAD","CAD Speciaist","US","True","None","EAmUkhP@WchRTY","Created","Department_CAD","013d482b-092c-4ff8-bcfe-973a3ba43ba3"
"joseph.taylor@intbussmgt.onmicrosoft.com","Joseph Taylor","Joseph","Taylor","HR","HR/Recruiting Specialist","US","True","None","uX@@C^Qy#!B5Pu","Created","Department_HR","ffd8be4a-8a92-47c8-b248-2b34aa88c34b"
"patricia.taylor@intbussmgt.onmicrosoft.com","Patricia Taylor","Patricia","Taylor","Mechanical","Mechanical Designer","US","True","None","u4GaveAu4sv&3B","Created","Department_Mechanical","66a9044a-abff-40cc-8c23-6da28eff8452"
"thomas.taylor@intbussmgt.onmicrosoft.com","Thomas Taylor","Thomas","Taylor","Dubai","Intern","US","True","None","wxVvHm3^QeWNNZ","Created","Department_Dubai","9edf4292-0d8e-4304-870b-da571e8b3118"
"william.taylor@intbussmgt.onmicrosoft.com","William Taylor","William","Taylor","CAD","Sr Field Technician | Associate","US","True","None","CPCv83#QFFqhwu","Created","Department_CAD","5a746242-b37f-40a4-94f6-1936b283f35c"
"anthony.thomas@intbussmgt.onmicrosoft.com","Anthony Thomas","Anthony","Thomas","AlAin","Intern","US","True","None","WQWU%54uYu@L6c","Created","Department_AlAin","822fac30-e7ca-486b-82fb-6340160ed760"
"christopher.thomas@intbussmgt.onmicrosoft.com","Christopher Thomas","Christopher","Thomas","Mechanical","Sr. Engineer","US","True","None","nqX^4cdCnyeYNA","Created","Department_Mechanical","93247f45-b93f-43bf-9084-1c66aa6bc098"
"david.thompson@intbussmgt.onmicrosoft.com","David Thompson","David","Thompson","Electrical","Electrical Intern","US","True","None","kKdb^WX*tRhhx5","Created","Department_Electrical","4723da8e-aa9d-4646-88c5-00513184d793"
"margaret.thompson@intbussmgt.onmicrosoft.com","Margaret Thompson","Margaret","Thompson","Mechanical","Project Manager | Associate","US","True","None","u#dpcrhd%L19fc","Created","Department_Mechanical","8f8e1298-e389-4232-abc0-369cec101b74"
"richard.thompson@intbussmgt.onmicrosoft.com","Richard Thompson","Richard","Thompson","Electrical","Designer","US","True","None","AERSWQh!gvE87#","Created","Department_Electrical","f833c5b2-f907-4157-a06f-fde0a1c60c97"
"robert.thompson@intbussmgt.onmicrosoft.com","Robert Thompson","Robert","Thompson","AlAin","Project Manager","US","True","None","T%cRsVS2CAzBGN","Created","Department_AlAin","e891b21d-eb04-4df9-ac76-f18355fdfff2"
"thomas.white@intbussmgt.onmicrosoft.com","Thomas White","Thomas","White","Dubai","Intern","US","True","None","MYdLzneZM8VGt5","Created","Department_Dubai","d3824dce-19a0-4587-b24a-739ad0b67257"
"nancy.williams@intbussmgt.onmicrosoft.com","Nancy Williams","Nancy","Williams","Mechanical","Mechanical Engineer","US","True","None","NnXm!eWEbudaxm","Created","Department_Mechanical","0b289463-d07f-46e2-97b2-9ee109564345"
"robert.anderson@intbussmgt.onmicrosoft.com","Robert Anderson","Robert","Anderson","ME Admin","Sr Plumbing Designer","AE","True","None","Lkq7QpE6L%2q#n","Created","Department_ME Admin","3e5a6292-fe03-4e03-9584-c1f67b6dee9f"
"sarah.anderson@intbussmgt.onmicrosoft.com","Sarah Anderson","Sarah","Anderson","Mechanical","Sr. Engineer","AE","True","None","Vw!#Hf6by5bFvL","Created","Department_Mechanical","2c212fb9-9c99-4e1b-af8e-13cf6e05e810"
"mary.brown@intbussmgt.onmicrosoft.com","Mary Brown","Mary","Brown","ME Admin","Intern","AE","True","None","hCVNsz!M$Cy5Ut","Created","Department_ME Admin","a4e0acfa-1af1-41a6-bacf-bd73df285ad7"
"karen.clark@intbussmgt.onmicrosoft.com","Karen Clark","Karen","Clark","CAD","CAD Technician","AE","True","None","Rcb5cst%F^T1hF","Created","Department_CAD","cf4e1334-3b1f-48b5-bad5-6e3463489f4a"
"emily.davis@intbussmgt.onmicrosoft.com","Emily Davis","Emily","Davis","Electrical","Electrical Designer","AE","True","None","zPPhtmy!KH$tzV","Created","Department_Electrical","1d58c762-f8fd-4f27-8e39-c05e78329f16"
"karen.davis@intbussmgt.onmicrosoft.com","Karen Davis","Karen","Davis","Dubai","Intern","AE","True","None","^8&vhxB#QM8QeP","Created","Department_Dubai","d12dfbea-cae8-4a88-bcea-a3442f5462c9"
"patricia.davis@intbussmgt.onmicrosoft.com","Patricia Davis","Patricia","Davis","Electrical","Electrical Designer","AE","True","None","WTG!PByhEUMuad","Created","Department_Electrical","bdf0d7cd-1f3f-4b2d-9140-598fd7b44639"
"sarah.davis@intbussmgt.onmicrosoft.com","Sarah Davis","Sarah","Davis","Mechanical","Mechanical Designer","AE","True","None","rs5#ZT21Rsuqd!","Created","Department_Mechanical","c9eb5958-bf1e-41c1-a6d2-97b9c6369f58"
"jessica.garcia@intbussmgt.onmicrosoft.com","Jessica Garcia","Jessica","Garcia","ADMRC","Document Controller","AE","True","None","bW1$#vdC@Mr&%2","Created","Department_ADMRC","dae74d12-ea9b-4ab6-8210-de759a0f8f01"
"patricia.garcia@intbussmgt.onmicrosoft.com","Patricia Garcia","Patricia","Garcia","ME Admin","Systems Engineer","AE","True","None","3NXx1FgE79ESEP","Created","Department_ME Admin","6968ae2c-dfa5-4b47-8a09-6a1177f2fb85"
"james.harris@intbussmgt.onmicrosoft.com","James Harris","James","Harris","Mechanical","Senior Mechanical","AE","True","None","e2wW%pm4ZhxS9y","Created","Department_Mechanical","4974652e-8e4d-453c-9efe-2cee34c5754d"
"paul.harris@intbussmgt.onmicrosoft.com","Paul Harris","Paul","Harris","CAD","CAD Operator","AE","True","None","t7%Q&CV5Vz$MuZ","Created","Department_CAD","aef49086-c7f1-464b-9b57-96b06270baac"
"sarah.harris@intbussmgt.onmicrosoft.com","Sarah Harris","Sarah","Harris","Electrical","Electrical Designer","AE","True","None","f#KdrgSM%A#HhX","Created","Department_Electrical","83adfcd5-eec4-48c8-ae0d-22f606252396"
"joseph.jackson@intbussmgt.onmicrosoft.com","Joseph Jackson","Joseph","Jackson","Mafraq","Engineering Manager","AE","True","None","z2q2aUW9pYE7HR","Created","Department_Mafraq","2d576e98-d216-4b90-b79b-a1d4b45974dc"
"patricia.jackson@intbussmgt.onmicrosoft.com","Patricia Jackson","Patricia","Jackson","Administration","Vice President","AE","True","None","wqBs@6CW3B#KS^","Created","Department_Administration","cb103455-ea48-4f2d-aa12-b2ba058a9a40"
"christopher.johnson@intbussmgt.onmicrosoft.com","Christopher Johnson","Christopher","Johnson","Administration","Founder","AE","True","None","N$!uhPcQp^QfY9","Created","Department_Administration","d144f971-c8a8-456f-b221-4870f5df55e1"
"susan.johnson@intbussmgt.onmicrosoft.com","Susan Johnson","Susan","Johnson","Mechanical","Mechanical Designer","AE","True","None","uQk13@CMwEHA&S","Created","Department_Mechanical","6d155e88-d919-4bd5-b9cb-4d621d5d0cb0"
"thomas.jones@intbussmgt.onmicrosoft.com","Thomas Jones","Thomas","Jones","ME Admin","Intern","AE","True","None","n4%tXKR9sYmw18","Created","Department_ME Admin","2bafe58f-2664-4b8c-b771-4800a9305a9d"
"patricia.lee@intbussmgt.onmicrosoft.com","Patricia Lee","Patricia","Lee","Mafraq","Intern","AE","True","None","x$gL#5tF*pNWz4","Created","Department_Mafraq","6485b904-5245-41c2-b249-c144a5055a0d"
"betty.lewis@intbussmgt.onmicrosoft.com","Betty Lewis","Betty","Lewis","Plumbing","Sr Plumbing & Fire Protection Designer","AE","True","None","PABG4!3w#vFEh*","Created","Department_Plumbing","0b057c5d-9213-4726-9b19-68c3b21366d3"
"richard.martinez@intbussmgt.onmicrosoft.com","Richard Martinez","Richard","Martinez","AlAin","Document Controller","AE","True","None","@@N69ppVf*ResA","Created","Department_AlAin","23ab8931-fe80-4180-8d81-a67855b0dd4c"
"anthony.miller@intbussmgt.onmicrosoft.com","Anthony Miller","Anthony","Miller","Marketing","Business Development Manager | Associate","AE","True","None","$PmyQ5B1^msR&p","Created","Department_Marketing","9381e119-84af-4230-9b8c-189be3a64235"
"donald.moore@intbussmgt.onmicrosoft.com","Donald Moore","Donald","Moore","Electrical","Electrical Designer","AE","True","None","fch75TyZwsEkUZ","Created","Department_Electrical","aa9da5b3-de9b-4ae2-8e2c-2bcbddb818c6"
"sarah.perez@intbussmgt.onmicrosoft.com","Sarah Perez","Sarah","Perez","Mechanical","Mechanical Designer","AE","True","None","spp^4!TQ##HCMR","Created","Department_Mechanical","9a64751e-4457-4823-bd4a-47cd3600362d"
"jennifer.ramirez@intbussmgt.onmicrosoft.com","Jennifer Ramirez","Jennifer","Ramirez","Administration","Chief Executive Officer","AE","True","None","r2Yx9keML9f7EW","Created","Department_Administration","ea35cd80-5c0e-451e-889c-eeb827cd9249"
"john.ramirez@intbussmgt.onmicrosoft.com","John Ramirez","John","Ramirez","AlAin","Intern","AE","True","None","FDUAC*tD$UfzwM","Created","Department_AlAin","dfdc040d-895d-425f-bd3c-b69eeda88f05"
"sandra.ramirez@intbussmgt.onmicrosoft.com","Sandra Ramirez","Sandra","Ramirez","Electrical","Electrical Department Head","AE","True","None","W*B9YvF@VMag%X","Created","Department_Electrical","106ce8f8-8d24-40b3-8d8e-4f958942be63"
"susan.robinson@intbussmgt.onmicrosoft.com","Susan Robinson","Susan","Robinson","Mafraq","Intern","AE","True","None","Z^bf2hYQ^H$#x9","Created","Department_Mafraq","b93331c9-a8cc-4ceb-95ea-f6c74472264c"
"matthew.rodriguez@intbussmgt.onmicrosoft.com","Matthew Rodriguez","Matthew","Rodriguez","Electrical","Electrical Designer","AE","True","None","*LcWFuFV7rcRYK","Created","Department_Electrical","47535790-3cd9-4b77-9a0c-2259a1d11f60"
"nancy.sanchez@intbussmgt.onmicrosoft.com","Nancy Sanchez","Nancy","Sanchez","Mechanical","Vice President","AE","True","None","nQDGu1SBM^dxLt","Created","Department_Mechanical","2efa1460-7268-4dca-8d93-5ac5409a66aa"
"matthew.smith@intbussmgt.onmicrosoft.com","Matthew Smith","Matthew","Smith","ME Admin","Vice President","AE","True","None","7^X^4ngMm3r@Kr","Created","Department_ME Admin","c902c57e-91c3-472b-bea2-c6f8aa5a69f1"
"nancy.smith@intbussmgt.onmicrosoft.com","Nancy Smith","Nancy","Smith","Mafraq","Intern","AE","True","None","v&PmWEUY4FRq9v","Created","Department_Mafraq","58e9f1d9-071b-4ad7-a480-f6132390ba07"
"donald.taylor@intbussmgt.onmicrosoft.com","Donald Taylor","Donald","Taylor","ME Admin","Electrical Designer","AE","True","None","dbe84Q2YrCwL5F","Created","Department_ME Admin","c233aa52-e413-474d-aaf7-0794bd4b8dc7"
"sandra.taylor@intbussmgt.onmicrosoft.com","Sandra Taylor","Sandra","Taylor","Electrical","Sr. Electrical Engineer | Associate","AE","True","None","$Ym*rGu9v^xvBE","Created","Department_Electrical","14eec9f1-596d-4ea6-ba88-5b4db9a11688"
"jennifer.white@intbussmgt.onmicrosoft.com","Jennifer White","Jennifer","White","AlAin","Project Control System Manager","AE","True","None","@qyAmxpzB!qB3!","Created","Department_AlAin","606320b9-6976-4a1e-b08b-6235ee8419b2"
"matthew.williams@intbussmgt.onmicrosoft.com","Matthew Williams","Matthew","Williams","Mechanical","Mechanical Designer","AE","True","None","HsDR6mCh4x#%&%","Created","Department_Mechanical","1c943923-8412-4c10-a6cb-109623c4ea4a"
"kimberly.garcia@intbussmgt.onmicrosoft.com","Kimberly Garcia","Kimberly","Garcia","Mechanical","Mechanical Designer","US","True","None","as&E$cTFdrm2wE","Created","Department_Mechanical","2727fc20-7801-41ae-a390-485fead7a2c2"
"lisa.garcia@intbussmgt.onmicrosoft.com","Lisa Garcia","Lisa","Garcia","Mechanical","President of Engineering","US","True","None","Y334we6%UD5qru","Created","Department_Mechanical","a7d2abd9-f6b6-4b32-bb36-30f6217d0dae"
"ashley.gonzalez@intbussmgt.onmicrosoft.com","Ashley Gonzalez","Ashley","Gonzalez","Mechanical","Mechanical Designer","US","True","None","G!666cYs3Lz&H6","Created","Department_Mechanical","25b9cc9f-ff1a-40b7-8902-7cd484bf5d0b"
"christopher.gonzalez@intbussmgt.onmicrosoft.com","Christopher Gonzalez","Christopher","Gonzalez","AlAin","Senior Planning Engineer","US","True","None","zuY%zXkcvSN6YU","Created","Department_AlAin","05b2309c-f8d8-43e9-a984-b660b28c1fb8"
"donna.gonzalez@intbussmgt.onmicrosoft.com","Donna Gonzalez","Donna","Gonzalez","Mechanical","Mechanical Designer","US","True","None","Z6b@Z4ZgD$S@xa","Created","Department_Mechanical","ac3b8bfd-3158-422d-b501-27af460e0fc3"
"jennifer.gonzalez@intbussmgt.onmicrosoft.com","Jennifer Gonzalez","Jennifer","Gonzalez","ME Admin","Mechanical Intern","US","True","None","!hWWNDt9LBMpvd","Created","Department_ME Admin","d0362714-7219-4fd4-ad1a-269df052de25"
"karen.gonzalez@intbussmgt.onmicrosoft.com","Karen Gonzalez","Karen","Gonzalez","Mechanical","Project Manager | Associate","US","True","None","uRYSK*6W9wnGxg","Created","Department_Mechanical","dfe510ac-37be-45b7-a2e3-5277d490b37d"
"michael.gonzalez@intbussmgt.onmicrosoft.com","Michael Gonzalez","Michael","Gonzalez","Mechanical","COO of Engineering","US","True","None","bgcTRuPnd&6@8%","Created","Department_Mechanical","f7873237-b5cc-41b0-beca-f09b3de9e50f"
"robert.gonzalez@intbussmgt.onmicrosoft.com","Robert Gonzalez","Robert","Gonzalez","Information Systems","Intern","US","True","None","vnS7@3WLLUkc$z","Created","Department_Information Systems","5fb017a4-7d77-4534-8310-76935ed4d1ae"
"sandra.gonzalez@intbussmgt.onmicrosoft.com","Sandra Gonzalez","Sandra","Gonzalez","Admin","Executive Assistant","US","True","None","N&8Vtc@Cufbbpe","Created","Department_Admin","210ed8aa-5538-42ca-afcc-7526681b19c3"
"joseph.harris@intbussmgt.onmicrosoft.com","Joseph Harris","Joseph","Harris","Plumbing","Designer","US","True","None","dVFHmX@s#PH^Lb","Created","Department_Plumbing","235c9a6e-a2ba-4492-b723-99fac27735fc"
"lisa.harris@intbussmgt.onmicrosoft.com","Lisa Harris","Lisa","Harris","CAD","Plumbing Designer","US","True","None","$%qe5H29RF#xn7","Created","Department_CAD","5232325a-8460-4daa-b303-71467051276e"
"robert.harris@intbussmgt.onmicrosoft.com","Robert Harris","Robert","Harris","AlAin","Document Controller","US","True","None","R%zXvhZKXEdZp*","Created","Department_AlAin","139128e8-b450-4425-87ba-c3ff952207cc"
"susan.harris@intbussmgt.onmicrosoft.com","Susan Harris","Susan","Harris","CAD","CAD Technician","US","True","None","E2UmrTK@XUY3vN","Created","Department_CAD","9201a296-9c73-453f-b797-28b10e11552b"
"margaret.hernandez@intbussmgt.onmicrosoft.com","Margaret Hernandez","Margaret","Hernandez","Mechanical","Mechanical Engineer","US","True","None","^xW*C5vZv$FP^R","Created","Department_Mechanical","d815caab-feb0-42a8-866c-c3824ba8c4c5"
"andrew.jackson@intbussmgt.onmicrosoft.com","Andrew Jackson","Andrew","Jackson","Mechanical","Mechanical Designer","US","True","None","c$cX%%abrd2Equ","Created","Department_Mechanical","8f5122ef-43c9-4966-a3c2-71861118198c"
"michael.johnson@intbussmgt.onmicrosoft.com","Michael Johnson","Michael","Johnson","ME Admin","Intern","US","True","None","zFd42q8cXZcy@7","Created","Department_ME Admin","fddf122b-428e-49d7-b7b7-7242bdf7553d"
"paul.johnson@intbussmgt.onmicrosoft.com","Paul Johnson","Paul","Johnson","AlAin","Secretary","US","True","None","cZ9!s*rS&@87@W","Created","Department_AlAin","d3a14138-e1de-41b9-a3ab-b7b46e5b6327"
"robert.johnson@intbussmgt.onmicrosoft.com","Robert Johnson","Robert","Johnson","AlAin","Intern","US","True","None","n4bUPmd^drB22C","Created","Department_AlAin","e32e006a-ee01-463a-af0a-908d4fcdf287"
"ashley.jones@intbussmgt.onmicrosoft.com","Ashley Jones","Ashley","Jones","CAD","Sr. CAD Specialist | Associate","US","True","None","8rT%^And$*e3xR","Created","Department_CAD","93dfa0de-84a8-4a38-aafd-9ba9b386a6eb"
"joseph.jones@intbussmgt.onmicrosoft.com","Joseph Jones","Joseph","Jones","Administration","Executive Assistant","US","True","None","Ed5sXNtZr3@FrQ","Created","Department_Administration","d02d6e45-ee41-4a6a-bc12-d490c61914c2"
"linda.jones@intbussmgt.onmicrosoft.com","Linda Jones","Linda","Jones","Plumbing","Sr. Plumbing Designer","US","True","None","WgAkFA7ZVGKFqt","Created","Department_Plumbing","bdfeb285-071a-451e-98e6-9fd8d1fd6918"
"paul.jones@intbussmgt.onmicrosoft.com","Paul Jones","Paul","Jones","Mafraq","Intern","US","True","None","7RxQpG7H8UHZku","Created","Department_Mafraq","d64343c4-ed33-46ae-9855-f80cf8d38a33"
"richard.jones@intbussmgt.onmicrosoft.com","Richard Jones","Richard","Jones","Dubai","QC Manager","US","True","None","MzYGkHqnX!qMZK","Created","Department_Dubai","cda105e9-7073-4a57-b292-a778f334beb5"
"sandra.jones@intbussmgt.onmicrosoft.com","Sandra Jones","Sandra","Jones","Mechanical","Sr Mechanical Designer","US","True","None","!n3tU%kZUkkA8%","Created","Department_Mechanical","3713279c-0f33-4cb4-bbd8-6c79d36036d6"
"sarah.jones@intbussmgt.onmicrosoft.com","Sarah Jones","Sarah","Jones","Mechanical","Mechanical Designer","US","True","None","v5qh#XL$xE2SyZ","Created","Department_Mechanical","e7bdc497-dfa6-465a-b50c-19977771281c"
"william.jones@intbussmgt.onmicrosoft.com","William Jones","William","Jones","Mechanical","Mechanical Designer","US","True","None","&t*hVEEtwqX6L9","Created","Department_Mechanical","88f0d0b4-3646-43f4-bfa1-0219e7218cfe"
"lisa.lewis@intbussmgt.onmicrosoft.com","Lisa Lewis","Lisa","Lewis","Mechanical","Mechanical Designer","US","True","None","$9QLn&RsfeSFrq","Created","Department_Mechanical","efb968f7-0596-4daf-aa26-0be957e64673"
"michelle.lewis@intbussmgt.onmicrosoft.com","Michelle Lewis","Michelle","Lewis","Electrical","Vice President","US","True","None","TNgx8puwtuFqKB","Created","Department_Electrical","06413042-7dc3-4cd8-800c-b17276914ce3"
"robert.lewis@intbussmgt.onmicrosoft.com","Robert Lewis","Robert","Lewis","AlAin","Intern","US","True","None","8vW&PEGDLb3epM","Created","Department_AlAin","441ba118-0f04-41b3-8eef-2c51799e79e7"
"lisa.lopez@intbussmgt.onmicrosoft.com","Lisa Lopez","Lisa","Lopez","Mafraq","Quantity Surveyor","US","True","None","YtzB6vbWYRu4s$","Created","Department_Mafraq","4e206770-86df-4a4e-9b2f-10ca2f78c071"
